Group Code As Per Xcube,Group Name as per Xcube,Site Code As Per Xcube,Site Name As Per Xcube,Billing Name As Per Tally,Region,zone,state,Party State,GSTIN/UIN,Costcentre,Address,site_code_no
GROUP131,Envocare Pest Control Services Private Limite,SITE1273,Envocare Pest Control Services Private Limited -Drs,Envocare Pest Control Services Private Limited,Mumbai,1,1,Maharashtra,27AADCE8310P1ZB,Envocare Pestcontrol Services Pvt Ltd - New,#N/A,1273
GROUP73,RNA Groups,SITE103,RNA Corporate Park BKC - AA Estate Private Limited,AA Estate Private Limited,Mumbai,1,1,Maharashtra,27AADCA3019K1ZT,RNA Corporation Pvt Ltd ( BKC ) - New,"RNA Corporate Park, Next to Collector's Office, Bandra East, Mumbai-400051",103
GROUP85,Emerald IsleT2 - T5,SITE1201,Emerald Isle,L&T Emerald Isle T2 to T5 Cooperative Housing Society Ltd,Mumbai,1,1,Maharashtra,27AABAL8379B1ZI,L&T Emerald Isle T2 to T5 - New,#N/A,1201
GROUP57,Pepperfry Groups,SITE1238,Pepperfry Kandivali,Trendsutra Client Services Pvt Ltd (Kandivali),Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Kandivali - New,#N/A,1238
GROUP56,We Work,SITE1144,We Work Thane,We Work India Management Private Limited,Mumbai,1,1,Maharashtra,27AADCH8710J1ZG,We Work (Thane) - New,"We Work - Thane,Zenia Building Hiranandani Circle,Hiranandani Business Park, Thane, Maharashtra 400607",1144
GROUP14,T Bhimjyani Realty Private Limited,SITE116,T Bhimjyani Realty Private Limited (Neelkanth Woods Sales Office),T Bhimjyani Realty Pvt. Ltd. - Sales Office Bandra,Mumbai,1,1,Maharashtra,27AAFCR4733F1ZE,T Bhimjyani Realty Pvt. Ltd  ( Sales Office ) - New,#N/A,116
GROUP14,T Bhimjyani Realty Private Limited,SITE115,T Bhimjyani Realty Private Limited (Neelkanth Woods Project Office and Club House),T Bhimjyani Realty Pvt. Ltd. - Project Bandra,Mumbai,1,1,Maharashtra,27AAFCR4733F1ZE,T Bhimjyani Realty Pvt. Ltd -( Project) -New,#N/A,115
GROUP70,Willingdon Club,SITE1237,Willingdon Club,WILLINGDON SPORTS CLUB,Mumbai,1,1,Maharashtra,27AAAAW0013A1ZB,Willingdon Sports Club -New,"Willingdon Sports Complex,Mahalaxmi",1237
GROUP52,Omkar Realtors & Developers Private Limited,SITE81,Omkar Realtors & Developers Private Limited (The Summit Business Bay),The Summit Business Park Premises Co-Op Society Ltd,Mumbai,1,1,Maharashtra,27AAHAT8723F1Z8,Omkar Realtors & Developers Pvt. Ltd. ( Andheri ) -New,"Omkar House, Off Eastern Express Highway, SIon (E),, Mumbai-400022, Site Name: Omkar - The Summit Business Bay, Behind Guru Nanak, Petrol Pump, Off. Andheri-Kurla Road,, Andheri (East), Mumbai - 400069",81
GROUP132,SESA COMMUNITY DEVELOPMENT FOUNDATION,SITE1252,SESA COMMUNITY DEVELOPMENT FOUNDATION,SESA COMMUNITY DEVELOPMENT FOUNDATION,Mumbai,1,23,Goa,30AAHCS5658Q1ZR,Sesa Academy Goa - New,"Sesa Football Academy-Goa,Sirsaim Bardez Goa,Near Tivim Railway Station,Goa Pin No -403516",1252
GROUP56,We Work,SITE1013,Embassy Services Private Limited- BKC,Embassy Services Private Limited,Mumbai,1,1,Maharashtra,27AAACE4258K1ZH,We Work (BKC) - New,"Enam Sambhav Building, Plot Bearing No-C20,G Block ,Bandra Kurla Complex",1013
GROUP56,We Work,SITE1036,We Work Thane,Embassy Services Private Limited,Mumbai,1,1,Maharashtra,27AAACE4258K1ZH,We Work (Thane) - New,"We Work - Thane,Zenia Building Hiranandani Circle,Hiranandani Business Park, Thane, Maharashtra 400607",1036
GROUP56,We Work,SITE1036,Embassy Services Private Limited- Marol,Embassy Services Private Limited- Marol,Mumbai,1,1,Maharashtra,27AAACE4258K1ZH,We Work  (Andheri) - New,"We Work Masterpiece -New,The Masterpiece, Marol Metro Station,Gamdevi, Marol, Andheri €",1036
GROUP56,We Work,SITE1037,We Work (Vikhroli),Embassy Services Private Limited,Mumbai,1,1,Maharashtra,27AAACE4258K1ZH,We Work (Vikroli) - New,"WeWork India Management Pvt Ltd - Vikhroli,13th Floor, 247Park,Hindustan C Bus Stop,LBS Marg,Gandhi Nagar,",1037
GROUP16,The Jammu and Kashmir Bank Limited,SITE942,The Jammu And Kashmir Bank Limited Maharashtra (Pune),The Jammu and Kashmir Bank Ltd. -Maharashtra,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,942
GROUP16,The Jammu and Kashmir Bank Limited,SITE941,The Jammu And Kashmir Bank Limited Maharashtra (Nasik),The Jammu and Kashmir Bank Ltd. -Nashik,Mumbai,1,1,Maharashtra,27AAACT6167G1Z7,The J&K Bank Ltd.( Maharashtra ) - New,#N/A,941
GROUP73,RNA Groups,SITE1120,Chamber Constructions Private Limited,Chamber Constructions Private Limited,Mumbai,1,1,Maharashtra,27AAACC2732L1ZQ,RNA Corporation Pvt Ltd ( BKC ) - New,"RNA Corporate Park, Next to Collector's Office, Bandra East, Mumbai-400051",1120
